Designator,Mid X,Mid Y,Rotation,Layer
C1,128.33,-103.124,0.0,top
D1,151.379,-95.25,0.0,top
J1,169.306915,-101.092,90.0,top
J2,122.428,-96.012,-90.0,top
L1,162.052,-93.726,-90.0,top
Q1,139.446,-102.9418,0.0,top
Q2,139.446,-96.393,0.0,top
R1,128.27,-98.6028,0.0,top
R2,128.27,-94.742,0.0,top
R3,144.78,-94.488,-90.0,top
S1,152.908,-101.854,0.0,top
